"","10345114","10426220","10427122","10427206","10441221","10452238","10523322","10526247","10535115","10543148","year"
"機械工程概論",-1,-1,-1,-1,-1,-1,68,-1,-1,-1,1051
"計算機概論",-1,-1,-1,-1,-1,-1,67,-1,-1,-1,1051
"政治學與當代生活",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"台灣政治與民主",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"文化思想史",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"國防軍訓-國際情勢",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"認識智慧財產權",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"電資與人類文明",-1,84,76,-1,-1,-1,-1,69,-1,-1,1051
"嵌入式系統實驗(一)",-1,-1,99,100,-1,-1,-1,-1,-1,-1,1051
"線性代數",-1,-1,34,77,-1,-1,-1,-1,-1,-1,1051
"邏輯設計",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"服務學習",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"優質網路生活",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"圖學一A",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"基本設計 (一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"電腦應用概論(一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"素描(一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"室內設計概論(一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"室內設計用詞表達形式",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"圖學一B",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"設計繪畫(一B)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"字法一B",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"電腦應用概論(C)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"基礎設計(一B)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"設計繪畫一C",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"字法一C",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"色彩學一C",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"基礎設計(一C)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"攝影外拍與實作",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"企業概論",-1,-1,-1,-1,64,-1,-1,-1,-1,-1,1051
"生活社會學",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"科技災害導論",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"商用數學(一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"通識教育講座",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"民法概要(一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"多益英文文法",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"初級會計學(一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,50,1051
"管理數學(一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,64,1051
"民法概要",-1,-1,-1,-1,-1,-1,-1,-1,-1,77,1051
"管理學",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"浪漫時期音樂賞析",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"Java程式設計",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"管理數學 (一)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"管理數學 (二)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"創業模擬經營實務",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"區域文明史",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"會計學",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"英文(二)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"財務數學",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"人生哲學",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"特殊兒童發展",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"特殊教育見習一B",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"資訊與電腦概論",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"第二外語文法一(西)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"第二外語會話一(西)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"中級英語會話(一)A",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"英文文法與段落寫作1A",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
"文學作品導讀(一)",-1,-1,-1,-1,-1,88,-1,-1,-1,-1,1051
"語言學概論(一)",-1,-1,-1,-1,-1,76,-1,-1,-1,-1,1051
"中級英語會話(一)B",-1,-1,-1,-1,-1,73,-1,-1,-1,-1,1051
"英文文法與段落寫作1B",-1,-1,-1,-1,-1,80,-1,-1,-1,-1,1051
"第二外語文法一(日)",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1051
