"","V1"
"260","個體經濟學(一)"
"261","貨幣銀行學"
"262","稅法總論"
"263","全球原住民族文化"
"264","財產及土地稅法"
"265","生命科學概論"
"266","綠色生活與永續環境"
"267","不動產經營管理講座"
"268","證券市場分析(一)"
"269","投資學"
"270","社群網路應用程式開發"
"271","雲端計算導論"
"272","樹莓派進階應用與設計"
"273","法律與經濟"
"274","法學緒論"
"275","證券金融商品法規合約"
"276","人生管理講座"
"277","特殊教育見習二B"
"278","資賦優異教育概論"
"279","英語語音學"
"280","英語演說"
"281","跨文化溝通"
"282","視譯入門"
"283","當代商業實務"
"284","運動與健康"
"285","溝通與口語創意表達"
"286","日本國情與文化"
"287","動漫文學"
"288","光電奈米材料"
"289","物理講座"
"290","民刑法與公民社會"
"291","基督教信仰與婚姻觀"
"292","音樂基礎訓練"
"293","行政學與公共管理"
"294","食品與健康"
"295","學校輔導工作概論"
"296","諮商概論"
"297","變態心理學"
"298","科技與藝術"
"299","心理會談技巧"
"300","現代精神醫學與心理學"
"301","健康心理學"
"302","綜合活動學習領域"
"303","助人專業倫理"
"304","傳播與文化"
"305","國際現勢"
"306","心理健康與調適"
"307","科學與信仰"
"308","行為控制學"
"309","國際創業領袖體驗講座"
"310","爵士樂賞析"
"311","工程英文"
"312","營建管理"
"313","土木工程競賽專題"
"314","資料庫應用"
"315","生命倫理學"
"316","音樂的構成"
"317","醫工英文(二)"
"318","職業安全衛生概論"
"319","科技災害導論"
"320","生醫與環境感測原理"
"321","物聯網創意設計(二)"
"322","全球氣候變遷"
"323","哲學概論"
"324","C++程式設計"
"325","西洋弦樂器演奏賞析"
"326","建築表現法"
"327","中醫與保健"
"328","室內空間設計基礎"
"329","室內裝修工程實作"
"330","時空簡史"
"331","韓國語言與文化"
"332","楚漢相爭之職場競爭力"
"333","東南亞政治與社會"
"334","義大利歌劇賞析"
"335","歌唱技巧入門"
"336","衍生性金融商品"
"337","通識教育講座"
"338","民法概要"
"339","運動與營養"
"340","音樂創意企劃製作"
"341","環境倫理"
"342","臺灣與世界"
"343","銀行實務專題"
"344","高層思考訓練"
"345","早期介入概論"
"346","幼兒園課程發展"
"347","建築表現法"
"348","三維電腦繪圖"
"349","三維動畫設計"
"350","西洋當代美術史二"
"351","文化創意設計講座"
"352","商業攝影實務二"
"353","永續發展導論"
"354","植栽設計實習(二)"
"355","產業中之個人發展"
"356","聖經中的經濟智慧"
"357","財政學"
"358","產業分析"
"359","法學英文（二）"
"360","愛情關係管理"
"361","日文(一)"
"362","聖經中的人際觀"
"363","古典電影配樂賞析"
"364","教育哲學"
"365","科學與倫理"
"366","語言發展與矯治"
"367","特殊教育見習二A"
"368","特殊幼兒評量"
"369","課程發展與設計"
"370","日本國情與文化"
"371","微分幾何"
"372","通識教育講座"
"373","資料結構(一)"
"374","生活化學應用"
"375","金融講堂"
"376","價值判斷與分析"
"377","科技大解密"
"378","國防軍訓-全民國防"
"379","楚漢相爭之職場競爭力"
"380","生命與品格典範"
"381","中西哲學的生死關懷"
"382","毫微米的世界"
"383","創業標竿講座"
"384","人生管理講座"
"385","相對論"
"386","新世代的科學夢"
"387","物理專題(一)"
"388","生命教育概論"
"389","國防軍訓-國防科技"
"390","現代小說欣賞"
"391","綠能光電實作"
"392","東南亞政治與社會"
"393","閱聽人分析"
"394","群論"
"395","聖經生命美學"
"396","國防軍訓-國際情勢"
"397","資料結構"
"398","高分子材料物性與加工"
"399","奈米科技導論"
"400","行政學與公共管理"
"401","社會與個人"
"402","歌唱技巧入門"
"403","土木工程英文"
"404","工程繪圖實務"
"405","音樂與情緒管理"
"406","科技災害導論"
"407","工程英文"
"408","原生文化與永續發展"
"409","資訊日文"
"410","國際現勢"
"411","工程倫理"
"412","漢字的奧妙"
"413","臺灣文化資產賞析"
"414","網路原理與應用"
"415","工業機器人"
"416","生物材料與力學導論"
"417","臺灣現代與後現代思潮"
"418","物理化學"
"419","醫工英文(二)"
"420","環境倫理"
"421","國防軍訓-國防政策"
"422","程式語言"
"423","虛擬實境專題(一)"
"424","生命科學概論"
"425","音樂劇賞析"
"426","物聯網創意設計(二)"
"427","讀書管理實務"
"428","御宅學"
"429","個人健康管理"
"430","智慧電子專題(一)"
"431","哲學概論"
"432","數位系統"
"433","數位傳播與文化"
"434","創意轉化專利講座"
"435","多元文化概論"
"436","未來資訊概論"
"437","軟體工程"
"438","工程與法律"
"439","環境與幸福生活"
"440","R程式設計"
"441","食品與健康"
"442","日本語言與文化"
"443","街頭行動藝術"
"444","認識中國崛起"
"445","生活中的預防醫學"
"446","電腦系統管理"
"447","綠色文明與永續發展"
"448","創意思解"
"449","數位音樂名師專題"
"450","綠色生活與永續環境"
"451","臺灣鄉土小說選讀"
"452","法學緒論"
"453","綠色科技講座"
"454","網際網路"
"455","數值分析"
"456","電磁學"
"457","國際現勢與兩岸關係"
"458","超大型積體電路導論"
"459","中西哲學家的生命觀"
"460","進階表現法"
"461","展示設計"
"462","時空簡史"
"463","室內裝修工程實作(二)"
"464","文案設計"
"465","全球文化講座"
"466","中國美術史二"
"467","影片製作"
"468","電腦輔助繪圖(一)"
"469","景觀工程實習(一)"
"470","哲學與生活"
"471","進階景觀設計表現法"
"472","攝影的藝術"
"473","浪漫時期音樂賞析"
"474","創意城市"
"475","室內設計概論(二)"
"476","認知的科學"
"477","勞資關係與勞工法令"
"478","東南亞社會與文化"
"479","科技法律與智慧財產權"
"480","溝通與口語創意表達"
"481","舊約故事的人生觀"
"482","設計素描實習"
"483","圖學實習(二)"
